Id,SentTime,ReceivedTime,LatencyMs
1648,2025-08-07T11:54:39.1909511Z,2025-08-07T11:54:39.1909511Z,0.0000
1649,2025-08-07T11:54:39.1909511Z,2025-08-07T11:54:39.1909511Z,0.0000
1650,2025-08-07T11:54:39.1924219Z,2025-08-07T11:54:39.1924219Z,0.0000
1651,2025-08-07T11:54:39.1924219Z,2025-08-07T11:54:39.1924219Z,0.0000
1652,2025-08-07T11:54:39.1934287Z,2025-08-07T11:54:39.1934287Z,0.0000
1653,2025-08-07T11:54:39.1934287Z,2025-08-07T11:54:39.1934287Z,0.0000
1654,2025-08-07T11:54:39.1944343Z,2025-08-07T11:54:39.1944343Z,0.0000
1655,2025-08-07T11:54:39.1944343Z,2025-08-07T11:54:39.1944343Z,0.0000
1656,2025-08-07T11:54:39.1954415Z,2025-08-07T11:54:39.1954415Z,0.0000
1657,2025-08-07T11:54:39.1954415Z,2025-08-07T11:54:39.1954415Z,0.0000
1658,2025-08-07T11:54:39.1964423Z,2025-08-07T11:54:39.1964423Z,0.0000
1659,2025-08-07T11:54:39.1964423Z,2025-08-07T11:54:39.1964423Z,0.0000
1660,2025-08-07T11:54:39.1974418Z,2025-08-07T11:54:39.1974418Z,0.0000
1661,2025-08-07T11:54:39.1974418Z,2025-08-07T11:54:39.1974418Z,0.0000
1662,2025-08-07T11:54:39.1985421Z,2025-08-07T11:54:39.1985421Z,0.0000
1663,2025-08-07T11:54:39.1985421Z,2025-08-07T11:54:39.1985421Z,0.0000
1664,2025-08-07T11:54:39.1995545Z,2025-08-07T11:54:39.1995545Z,0.0000
1665,2025-08-07T11:54:39.1995545Z,2025-08-07T11:54:39.1995545Z,0.0000
1666,2025-08-07T11:54:39.2005597Z,2025-08-07T11:54:39.2005597Z,0.0000
1667,2025-08-07T11:54:39.2005597Z,2025-08-07T11:54:39.2005597Z,0.0000
1668,2025-08-07T11:54:39.2016056Z,2025-08-07T11:54:39.2016056Z,0.0000
1669,2025-08-07T11:54:39.2016056Z,2025-08-07T11:54:39.2016056Z,0.0000
1670,2025-08-07T11:54:39.2026133Z,2025-08-07T11:54:39.2026133Z,0.0000
1671,2025-08-07T11:54:39.2026133Z,2025-08-07T11:54:39.2026133Z,0.0000
1672,2025-08-07T11:54:39.2036196Z,2025-08-07T11:54:39.2036196Z,0.0000
1673,2025-08-07T11:54:39.2036196Z,2025-08-07T11:54:39.2036196Z,0.0000
1674,2025-08-07T11:54:39.2046253Z,2025-08-07T11:54:39.2046253Z,0.0000
1675,2025-08-07T11:54:39.2046253Z,2025-08-07T11:54:39.2046253Z,0.0000
1676,2025-08-07T11:54:39.2056998Z,2025-08-07T11:54:39.2056998Z,0.0000
1677,2025-08-07T11:54:39.2056998Z,2025-08-07T11:54:39.2056998Z,0.0000
1678,2025-08-07T11:54:39.2067140Z,2025-08-07T11:54:39.2067140Z,0.0000
1679,2025-08-07T11:54:39.2067140Z,2025-08-07T11:54:39.2067140Z,0.0000
1680,2025-08-07T11:54:39.2067140Z,2025-08-07T11:54:39.2080087Z,1.2947
1681,2025-08-07T11:54:39.2080087Z,2025-08-07T11:54:39.2080087Z,0.0000
1682,2025-08-07T11:54:39.2080087Z,2025-08-07T11:54:39.2090634Z,1.0547
1683,2025-08-07T11:54:39.2090634Z,2025-08-07T11:54:39.2090634Z,0.0000
1684,2025-08-07T11:54:39.2090634Z,2025-08-07T11:54:39.2101293Z,1.0659
1685,2025-08-07T11:54:39.2101293Z,2025-08-07T11:54:39.2101293Z,0.0000
1686,2025-08-07T11:54:39.2101293Z,2025-08-07T11:54:39.2112139Z,1.0846
1687,2025-08-07T11:54:39.2112139Z,2025-08-07T11:54:39.2112139Z,0.0000
1688,2025-08-07T11:54:39.2112139Z,2025-08-07T11:54:39.2112139Z,0.0000
1689,2025-08-07T11:54:39.2122938Z,2025-08-07T11:54:39.2122938Z,0.0000
1690,2025-08-07T11:54:39.2122938Z,2025-08-07T11:54:39.2122938Z,0.0000
1691,2025-08-07T11:54:39.2122938Z,2025-08-07T11:54:39.2137933Z,1.4995
1692,2025-08-07T11:54:39.2142994Z,2025-08-07T11:54:39.2142994Z,0.0000
1693,2025-08-07T11:54:39.2142994Z,2025-08-07T11:54:39.2142994Z,0.0000
1694,2025-08-07T11:54:39.2153150Z,2025-08-07T11:54:39.2153150Z,0.0000
1695,2025-08-07T11:54:39.2153150Z,2025-08-07T11:54:39.2153150Z,0.0000
1696,2025-08-07T11:54:39.2153150Z,2025-08-07T11:54:39.2153150Z,0.0000
1697,2025-08-07T11:54:39.2166997Z,2025-08-07T11:54:39.2166997Z,0.0000
1698,2025-08-07T11:54:39.2166997Z,2025-08-07T11:54:39.2177060Z,1.0063
1699,2025-08-07T11:54:39.2182559Z,2025-08-07T11:54:39.2182559Z,0.0000
1700,2025-08-07T11:54:39.2182559Z,2025-08-07T11:54:39.2182559Z,0.0000
1701,2025-08-07T11:54:39.2182559Z,2025-08-07T11:54:39.2182559Z,0.0000
1702,2025-08-07T11:54:39.2197239Z,2025-08-07T11:54:39.2197239Z,0.0000
1703,2025-08-07T11:54:39.2197239Z,2025-08-07T11:54:39.2197239Z,0.0000
1704,2025-08-07T11:54:39.2209524Z,2025-08-07T11:54:39.2209524Z,0.0000
1705,2025-08-07T11:54:39.2209524Z,2025-08-07T11:54:39.2209524Z,0.0000
1706,2025-08-07T11:54:39.2219668Z,2025-08-07T11:54:39.2219668Z,0.0000
1707,2025-08-07T11:54:39.2219668Z,2025-08-07T11:54:39.2219668Z,0.0000
1708,2025-08-07T11:54:39.2230285Z,2025-08-07T11:54:39.2230285Z,0.0000
1709,2025-08-07T11:54:39.2230285Z,2025-08-07T11:54:39.2230285Z,0.0000
1710,2025-08-07T11:54:39.2230285Z,2025-08-07T11:54:39.2230285Z,0.0000
1711,2025-08-07T11:54:39.2245457Z,2025-08-07T11:54:39.2245457Z,0.0000
1712,2025-08-07T11:54:39.2245457Z,2025-08-07T11:54:39.2245457Z,0.0000
1713,2025-08-07T11:54:39.2259017Z,2025-08-07T11:54:39.2259017Z,0.0000
1714,2025-08-07T11:54:39.2259017Z,2025-08-07T11:54:39.2259017Z,0.0000
1715,2025-08-07T11:54:39.2274065Z,2025-08-07T11:54:39.2274065Z,0.0000
1716,2025-08-07T11:54:39.2274065Z,2025-08-07T11:54:39.2274065Z,0.0000
1717,2025-08-07T11:54:39.2284127Z,2025-08-07T11:54:39.2284127Z,0.0000
1718,2025-08-07T11:54:39.2284127Z,2025-08-07T11:54:39.2284127Z,0.0000
1719,2025-08-07T11:54:39.2294183Z,2025-08-07T11:54:39.2294183Z,0.0000
1720,2025-08-07T11:54:39.2294183Z,2025-08-07T11:54:39.2304266Z,1.0083
1721,2025-08-07T11:54:39.2304266Z,2025-08-07T11:54:39.2304266Z,0.0000
1722,2025-08-07T11:54:39.2314246Z,2025-08-07T11:54:39.2314246Z,0.0000
1723,2025-08-07T11:54:39.2314246Z,2025-08-07T11:54:39.2314246Z,0.0000
1724,2025-08-07T11:54:39.2314246Z,2025-08-07T11:54:39.2314246Z,0.0000
1725,2025-08-07T11:54:39.2328580Z,2025-08-07T11:54:39.2328580Z,0.0000
1726,2025-08-07T11:54:39.2328580Z,2025-08-07T11:54:39.2328580Z,0.0000
1727,2025-08-07T11:54:39.2328580Z,2025-08-07T11:54:39.2328580Z,0.0000
1728,2025-08-07T11:54:39.2343687Z,2025-08-07T11:54:39.2343687Z,0.0000
1729,2025-08-07T11:54:39.2343687Z,2025-08-07T11:54:39.2343687Z,0.0000
1730,2025-08-07T11:54:39.2343687Z,2025-08-07T11:54:39.2357271Z,1.3584
1731,2025-08-07T11:54:39.2357271Z,2025-08-07T11:54:39.2357271Z,0.0000
1732,2025-08-07T11:54:39.2367385Z,2025-08-07T11:54:39.2367385Z,0.0000
1733,2025-08-07T11:54:39.2367385Z,2025-08-07T11:54:39.2367385Z,0.0000
1734,2025-08-07T11:54:39.2377385Z,2025-08-07T11:54:39.2377385Z,0.0000
1735,2025-08-07T11:54:39.2377385Z,2025-08-07T11:54:39.2377385Z,0.0000
1736,2025-08-07T11:54:39.2387365Z,2025-08-07T11:54:39.2387365Z,0.0000
1737,2025-08-07T11:54:39.2387365Z,2025-08-07T11:54:39.2387365Z,0.0000
1738,2025-08-07T11:54:39.2397511Z,2025-08-07T11:54:39.2397511Z,0.0000
1739,2025-08-07T11:54:39.2397511Z,2025-08-07T11:54:39.2397511Z,0.0000
1740,2025-08-07T11:54:39.2407738Z,2025-08-07T11:54:39.2407738Z,0.0000
1741,2025-08-07T11:54:39.2407738Z,2025-08-07T11:54:39.2407738Z,0.0000
1742,2025-08-07T11:54:39.2418060Z,2025-08-07T11:54:39.2418060Z,0.0000
1743,2025-08-07T11:54:39.2418060Z,2025-08-07T11:54:39.2418060Z,0.0000
1744,2025-08-07T11:54:39.2428116Z,2025-08-07T11:54:39.2428116Z,0.0000
1745,2025-08-07T11:54:39.2428116Z,2025-08-07T11:54:39.2428116Z,0.0000
1746,2025-08-07T11:54:39.2428116Z,2025-08-07T11:54:39.2428116Z,0.0000
1747,2025-08-07T11:54:39.2443207Z,2025-08-07T11:54:39.2443207Z,0.0000
1748,2025-08-07T11:54:39.2443207Z,2025-08-07T11:54:39.2443207Z,0.0000
1749,2025-08-07T11:54:39.2453782Z,2025-08-07T11:54:39.2453782Z,0.0000
1750,2025-08-07T11:54:39.2453782Z,2025-08-07T11:54:39.2453782Z,0.0000
1751,2025-08-07T11:54:39.2464815Z,2025-08-07T11:54:39.2464815Z,0.0000
1752,2025-08-07T11:54:39.2464815Z,2025-08-07T11:54:39.2474869Z,1.0054
1753,2025-08-07T11:54:39.2474869Z,2025-08-07T11:54:39.2474869Z,0.0000
1754,2025-08-07T11:54:39.2474869Z,2025-08-07T11:54:39.2487503Z,1.2634
1755,2025-08-07T11:54:39.2487503Z,2025-08-07T11:54:39.2487503Z,0.0000
1756,2025-08-07T11:54:39.2487503Z,2025-08-07T11:54:39.2487503Z,0.0000
1757,2025-08-07T11:54:39.2501004Z,2025-08-07T11:54:39.2501004Z,0.0000
1758,2025-08-07T11:54:39.2506070Z,2025-08-07T11:54:39.2506070Z,0.0000
1759,2025-08-07T11:54:39.2506070Z,2025-08-07T11:54:39.2506070Z,0.0000
1760,2025-08-07T11:54:39.2516146Z,2025-08-07T11:54:39.2516146Z,0.0000
1761,2025-08-07T11:54:39.2516146Z,2025-08-07T11:54:39.2516146Z,0.0000
1762,2025-08-07T11:54:39.2530049Z,2025-08-07T11:54:39.2530049Z,0.0000
1763,2025-08-07T11:54:39.2530049Z,2025-08-07T11:54:39.2530049Z,0.0000
1764,2025-08-07T11:54:39.2541902Z,2025-08-07T11:54:39.2541902Z,0.0000
1765,2025-08-07T11:54:39.2555661Z,2025-08-07T11:54:39.2555661Z,0.0000
1766,2025-08-07T11:54:39.2555661Z,2025-08-07T11:54:39.2555661Z,0.0000
